PID: COMMAND
1: /sbin/launchd
39: /usr/sbin/syslogd
40: /usr/libexec/UserEventAgent
43: /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
44: /usr/libexec/kextd
45: /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
49: /System/Library/CoreServices/appleeventsd
50: /usr/sbin/systemstats
52: /usr/libexec/configd
53: /System/Library/CoreServices/powerd.bundle/powerd
56: /usr/libexec/logd
62: /usr/libexec/warmd
63: /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
66: /usr/libexec/diskarbitrationd
69: /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper
73: /usr/libexec/opendirectoryd
74: /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
75: /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
76: /System/Library/CoreServices/launchservicesd
78: /usr/sbin/securityd
79: /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
81: /usr/libexec/locationd
82: autofsd
83: /usr/libexec/displaypolicyd
85: /usr/libexec/dasd
86: /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
89: /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
90: /System/Library/CoreServices/logind
91: /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
92: /usr/sbin/KernelEventAgent
94: /usr/sbin/bluetoothd
95: /usr/libexec/hidd
96: /usr/libexec/corebrightnessd
97: /usr/libexec/AirPlayXPCHelper
98: /usr/sbin/notifyd
99: /usr/sbin/distnoted
100: /usr/sbin/cfprefsd
102: /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
103: /System/Library/CoreServices/coreservicesd
107: /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
111: /usr/libexec/trustd
133: /usr/libexec/airportd
135: /usr/sbin/coreaudiod
145: /usr/sbin/mDNSResponder
163: /usr/sbin/mDNSResponderHelper
185: /System/Library/PrivateFrameworks/SignpostNotification.framework/Versions/A/XPCServices/signpost_notificationd.xpc/Contents/MacOS/signpost_notificationd
186: /usr/libexec/syspolicyd
187: /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
188: /usr/libexec/symptomsd
191: /usr/libexec/nsurlsessiond
192: /usr/libexec/apfsd
194: /usr/libexec/powerlogd
195: /usr/libexec/ApplicationFirewall/socketfilterfw
196: /usr/sbin/cupsd
197: /usr/libexec/lsd
198: /usr/libexec/watchdogd
199: /usr/libexec/thermald
200: /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
209: /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
229: /usr/sbin/systemstats
238: /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
245: /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
248: /usr/libexec/securityd_service
249: /usr/sbin/cfprefsd
250: /usr/libexec/UserEventAgent
252: /usr/sbin/distnoted
254: /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
255: /usr/libexec/lsd
258: /usr/libexec/trustd
260: /System/Library/CoreServices/sharedfilelistd
264: /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
267: /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
269: /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
283: /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
284: /System/Library/CoreServices/SubmitDiagInfo
290: /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
291: /usr/libexec/pkd
294: /usr/libexec/pboard
296: /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
297: /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
301: /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
302: /usr/sbin/usernoted
303: /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
304: /usr/libexec/secinitd
305: /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
306: /usr/libexec/sharingd
